ID,Title,Rank,Score,ScoredBy,Popularity,Members,Favorites,Season,Episodes
30383,Classroom☆Crisis,3339,7.11,32543,1221,85292,161,142,13
37873,BanG Dream! Garupa☆Pico,816,7.85,3901,4466,8919,66,154,26
21435,Yama no Susume: Second Season,1494,7.58,8786,3000,21615,113,138,24
33241,Honobono Log,1831,7.47,17071,2233,37152,202,145,10
509,I My Me! Strawberry Eggs,4293,6.87,16168,2488,30389,102,86,13
9893,Suite Precure♪,2350,7.35,3499,4190,10346,106,124,48
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,2963,7.2,7265,2646,27112,107,95,13
18507,Free!,1586,7.54,233228,173,419525,8481,134,12
2569,Jungle Book Shounen Mowgli,3870,6.98,2438,5848,4550,13,39,52
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,119,8.46,189299,234,362024,6758,156,12
92,After War Gundam X,2226,7.36,10830,2764,25205,174,65,39
4896,Umineko no Naku Koro ni,2868,7.23,70706,645,164252,1994,118,26
29803,Overlord,490,8.07,407367,65,704888,13192,142,13
813,Dragon Ball Z,248,8.29,441027,73,656685,25518,37,291
18277,Strike the Blood,2569,7.3,192123,200,393839,1942,135,24
7592,Nurarihyon no Mago,1079,7.73,81502,560,187042,1208,122,24
39196,Mairimashita! Iruma-kun,1836,7.47,2269,3124,20052,37,159,23
12293,Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,2822,7.23,134091,389,243969,1148,130,13
32175,Shounen Maid,2172,7.39,21049,1804,51633,197,145,12
13141,Shiba Inuko-san,8843,5.82,2560,4693,7902,12,129,26
6682,11eyes,6935,6.32,97200,570,183774,471,119,12
31376,Flying Witch,1475,7.58,69799,600,174174,963,145,12
35905,Ryuuou no Oshigoto!,3613,7.05,38182,1122,93859,192,152,12
1448,Hyakujuu-Ou GoLion,4050,6.93,3718,4543,8528,48,5,52
17895,Golden Time,780,7.87,257560,129,491961,7750,135,24
28701,Fate/stay night: Unlimited Blade Works 2nd Season,174,8.38,272026,168,429362,5061,141,13
34612,Saiki Kusuo no Ψ-nan 2,72,8.6,80024,657,162501,1742,152,24
580,Kogepan,3949,6.96,2745,5538,5222,34,87,10
18247,IS: Infinite Stratos 2,4852,6.75,135385,405,239901,464,135,12
11433,Ano Natsu de Matteru,1412,7.6,122882,378,253479,1728,128,12
10033,Toriko,1269,7.66,26691,1261,83445,757,125,147
1459,Uchuu no Kishi Tekkaman Blade,1609,7.54,4114,3975,11669,153,48,49
